dteday,time_period,temp,atemp,hum,windspeed,casual,registered,cnt,season,mnth,weekday,weathersit,yr,holiday,workingday
2011-01-01,1,0.27999999999999997,0.30735714285714283,0.7842857142857144,0.08955714285714286,7.142857142857143,10.0,17.142857142857142,1,1,6,1,0,0,0
2011-01-01,2,0.44000000000000006,0.43936000000000003,0.76,0.29253999999999997,38.4,59.0,97.4,1,1,6,2,0,0,0
2011-01-01,3,0.42,0.424225,0.8625,0.261175,10.25,33.5,43.75,1,1,6,2,0,0,0
2011-01-01,4,0.3025,0.335225,0.825,0.08954999999999999,6.0,19.375,25.375,1,1,6,1,0,0,0
2011-01-02,1,0.38666666666666666,0.38634999999999997,0.7533333333333333,0.23631666666666665,4.0,21.666666666666668,25.666666666666668,1,1,0,2,0,0,0
2011-01-02,2,0.352,0.33937999999999996,0.72,0.19104000000000002,12.6,62.8,75.4,1,1,0,3,0,0,0
2011-01-02,3,0.33,0.30679999999999996,0.45999999999999996,0.3321,5.75,36.75,42.5,1,1,0,1,0,0,0
2011-01-02,4,0.37,0.361725,0.75625,0.2518625,2.625,9.875,12.5,1,1,0,2,0,0,0
2011-01-03,1,0.16,0.1407142857142857,0.4614285714285714,0.30278571428571427,4.285714285714286,57.714285714285715,62.0,1,1,1,1,0,0,1
2011-01-03,2,0.248,0.23027999999999998,0.31999999999999995,0.27462,11.0,58.4,69.4,1,1,1,1,0,0,1
2011-01-03,3,0.22,0.24245,0.39,0.10822499999999999,7.75,111.25,119.0,1,1,1,1,0,0,1
2011-01-03,4,0.18000000000000002,0.17678333333333332,0.5383333333333333,0.2562166666666667,0.6666666666666666,14.666666666666666,15.333333333333334,1,1,1,1,0,0,1
2011-01-04,1,0.14857142857142858,0.15799999999999997,0.6699999999999999,0.19404285714285716,2.5714285714285716,70.57142857142857,73.14285714285714,1,1,2,1,0,0,1
2011-01-04,2,0.26,0.25456,0.52,0.21789999999999998,14.2,63.0,77.2,1,1,2,1,0,0,1
2011-01-04,3,0.255,0.261375,0.48,0.156725,4.0,136.0,140.0,1,1,2,1,0,0,1
2011-01-04,4,0.17714285714285713,0.20778571428571427,0.6242857142857143,0.08744285714285714,0.42857142857142855,14.428571428571429,14.857142857142858,1,1,2,1,0,0,1
2011-01-05,1,0.21428571428571427,0.20131428571428572,0.4057142857142857,0.26654285714285714,3.7142857142857144,73.0,76.71428571428571,1,1,3,1,0,0,1
2011-01-05,2,0.288,0.27578,0.29400000000000004,0.2209,6.4,66.2,72.6,1,1,3,1,0,0,1
2011-01-05,3,0.235,0.23865,0.40249999999999997,0.14925,4.75,140.25,145.0,1,1,3,1,0,0,1
2011-01-05,4,0.19142857142857145,0.21864285714285714,0.59,0.10448571428571429,0.7142857142857143,16.428571428571427,17.142857142857142,1,1,3,1,0,0,1
2011-01-06,1,0.17142857142857143,0.22295714285714285,0.5599999999999999,0.04052857142857143,2.0,80.85714285714286,82.85714285714286,1,1,4,2,0,0,1
2011-01-06,2,0.268,0.27271999999999996,0.36,0.08658,9.8,64.0,73.8,1,1,4,1,0,0,1
2011-01-06,3,0.215,0.231075,0.52,0.138075,5.0,124.0,129.0,1,1,4,1,0,0,1
2011-01-06,4,0.18571428571428572,0.21645714285714288,0.5885714285714286,0.11301428571428572,0.7142857142857143,19.428571428571427,20.142857142857142,1,1,4,2,0,0,1
2011-01-07,1,0.2057142857142857,0.21645714285714288,0.5257142857142857,0.17697142857142856,11.428571428571429,73.85714285714286,85.28571428571429,1,1,5,1,0,0,1
2011-01-07,2,0.2,0.2,0.376,0.22388,7.8,60.4,68.2,1,1,5,2,0,0,1
2011-01-07,3,0.185,0.2235,0.4475,0.070925,5.0,109.0,114.0,1,1,5,1,0,0,1
2011-01-07,4,0.19142857142857145,0.19915714285714287,0.5885714285714286,0.17697142857142856,1.2857142857142858,15.285714285714286,16.571428571428573,1,1,5,2,0,0,1
2011-01-08,1,0.16857142857142857,0.17965714285714288,0.7957142857142857,0.1706,1.1428571428571428,23.714285714285715,24.857142857142858,1,1,6,2,0,0,0
2011-01-08,2,0.196,0.16668,0.392,0.41494,8.0,81.0,89.0,1,1,6,1,0,0,0
2011-01-08,3,0.14,0.1212,0.37,0.33952499999999997,3.0,42.5,45.5,1,1,6,1,0,0,0
2011-01-08,4,0.155,0.1647875,0.48125,0.2220375,1.0,18.75,19.75,1,1,6,1,0,0,0
2011-01-09,1,0.11142857142857143,0.09524285714285714,0.4757142857142857,0.3411571428571429,0.42857142857142855,18.857142857142858,19.285714285714285,1,1,0,1,0,0,0
2011-01-09,2,0.20400000000000001,0.16972,0.344,0.43285999999999997,7.2,73.6,80.8,1,1,0,1,0,0,0
2011-01-09,3,0.16,0.136375,0.41500000000000004,0.32465,2.0,45.25,47.25,1,1,0,1,0,0,0
2011-01-09,4,0.11000000000000001,0.090925,0.46375,0.354475,0.875,10.875,11.75,1,1,0,1,0,0,0
2011-01-10,1,0.1285714285714286,0.12121428571428572,0.5014285714285714,0.26865714285714287,1.4285714285714286,63.42857142857143,64.85714285714286,1,1,1,2,0,0,1
2011-01-10,2,0.2,0.19394,0.4,0.22986,3.0,51.4,54.4,1,1,1,2,0,0,1
2011-01-10,3,0.18,0.189425,0.4425,0.1642,2.25,123.25,125.5,1,1,1,1,0,0,1
2011-01-10,4,0.125,0.13067499999999999,0.53875,0.2089625,0.875,10.75,11.625,1,1,1,1,0,0,1
2011-01-11,1,0.17714285714285713,0.20345714285714284,0.5214285714285715,0.11727142857142858,2.142857142857143,79.0,81.14285714285714,1,1,2,2,0,0,1
2011-01-11,2,0.184,0.20607999999999999,0.67,0.11943999999999999,3.4,55.6,59.0,1,1,2,2,0,0,1
2011-01-11,3,0.16,0.178025,0.9125000000000001,0.1306,1.75,76.75,78.5,1,1,2,3,0,0,1
2011-01-11,4,0.15333333333333335,0.17425000000000002,0.7416666666666667,0.1244,0.6666666666666666,13.666666666666666,14.333333333333334,1,1,2,3,0,0,1
2011-01-12,1,0.15714285714285717,0.16017142857142858,0.6742857142857143,0.21962857142857145,1.2857142857142858,49.857142857142854,51.142857142857146,1,1,3,1,0,0,1
2011-01-12,2,0.20800000000000002,0.17880000000000001,0.458,0.403,1.8,51.2,53.0,1,1,3,1,0,0,1
2011-01-12,3,0.185,0.1553,0.4775,0.406725,1.25,102.5,103.75,1,1,3,1,0,0,1
2011-01-12,4,0.15333333333333335,0.149,0.7116666666666666,0.25375,0.3333333333333333,20.333333333333332,20.666666666666668,1,1,3,1,0,0,1
